Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
28483858161,Texas Scorecard,A PROJECT OF EMPOWER TEXANS INC,1791,11
107226350977260,Rookie,Rookie,1791,13
399060493533519,The Justice Foundation,JUSTICE FOUNDATION,1790,13
812655115442012,Mike Smith,Mike Smith For Delaware,1789,6
38897314734,The Trust for Public Land,"TRUST FOR PUBLIC LAND, THE",1788,43
304644643183,GO Neighborhoods Northside Houston,Houston in Action,1788,8
451200241569694,Dr Farrukh for AV Hospital Board of Directors,Dr Farrukh for AV Hospital 2020,1787,7
1483720741844126,North Carolina Black Alliance,North Carolina Black Alliance,1787,2
634251269977237,Ronald Gelok & Associates,Ronald Gelok & Associates,1787,4
101414964553911,Change For Children,Change For Children 2020,1787,18
107257424356009,Ohio Land and Liberty Coalition,Land & Liberty Coalition,1786,6
109198562791,Mayor Alex Vargas,Mayor Alex Vargas 2020,1785,31
100401931826271,Congressional Black Caucus PAC IE,CONGRESSIONAL BLACK CAUCUS PAC,1785,32
106079271241486,Gulf Coast Leadership Council,Houston in Action,1785,8
112558703494355,"Nadin Cutter for Family Court Judge, Dept. T",Cutter 4 Judge,1784,2
182079698493370,Portside,Portside,1783,202
110327550477501,Imagine Justice Los Angeles,Imagine Justice PAC,1779,13
246536259126339,SEIU Healthcare Missouri Kansas,SEIU Healthcare Illinois & Indiana,1778,42
106706932722061,Hunger Free Colorado,HUNGER FREE COLORADO,1777,15
104138381453011,I love 45 store,These ads ran without a disclaimer,1776,3
109944290704309,Liz Reyer for 51B,Liz Reyer Election Committee,1776,2
148235298567858,Feed More,"FEED MORE, INC.",1776,4
600217573480158,GOPStore.com,GOPStore.com,1775,1
105869887669907,Committee for Judicial Integrity,Committee for Judicial Integrity,1774,6
519514011556180,Dustin Marshall for DISD,Dustin Marshall for Dallas ISD,1773,28
2069180799973793,David M. Singer Village of Palmetto Bay Florida Councilman,"David Singer for Palmetto Bay Council, District 2",1773,13
776174635847068,Aric Putnam for State Senate,Aric for MN,1773,3
866779926670025,Citizens for Tobacco Rights,Citizens for Tobacco Rights,1772,15
108704150949359,FactPAC,FACTPAC,1772,112
329630407537124,Jeff Helfrich,Friends of Jeff Helfrich,1772,8
289213691238937,Thrasher Coffee,Thrasher Coffee Co.,1769,4
494259170754224,Keeping IDentities Safe,KEEPING IDENTITIES SAFE,1768,10
198619983641442,Somerset County GOP,The Somerset County Republican Executive Committee,1768,16
248468095247223,Rastaclat,Rastaclat,1767,6
115116896929884,Florida Open Primaries,Florida Open Primaries,1767,8
251632675552663,Rigged: The Voter Suppression Playbook,American Issues Initiative,1767,2
108020694257208,Mike Skelps for Connecticut State House of Representatives,Skelps 2020,1767,5
100645541728080,Blue America Project,BLUE AMERICA PROJECT,1766,156
652480345129705,Yankee Thunder,These ads ran without a disclaimer,1764,4
107710887461480,Yes on 109,PSI 2020,1764,28
107828937643235,12000PaCasinos,Pennsylvanians for Responsible Government,1764,1
1664959567149320,Wholesome Culture,Wholesome Culture,1761,26
113632273787005,Unite The Fight PAC,Unite The Fight PAC,1760,6
114905683535874,The Vote-by-Mail Project,The Vote-by-Mail Project,1759,20
114953746614319,Citizen Congress,"Citizen Congress, LLC",1759,19
1290536624348001,Informed Immigrant,FWD.us Education Fund,1759,43
110787220528672,Ron McMullen for Hillsborough County Sheriff,Ron McMullen for Sheriff,1758,21
708677422591042,Kevin Kiley,Kevin Kiley for Assembly,1757,10
209255512459483,DentaQuest,"DENTAQUEST VENTURES, LLC",1756,6
1093431604166345,The People Votes,Main St Productions Inc,1755,235
105808477557901,Ryan Childers for IID Director- Division 2,"Committee to Elect Ryan D. Childers, IID Director Division 2, 2020",1755,17
39910576365,National Alliance for Public Charter Schools,NATIONAL ALLIANCE FOR PUBLIC CHARTER SCHOOLS,1754,79
673553909438696,Tom Kean,KEAN FOR CONGRESS INC,1754,9
101830514739195,Judge Steve McKinley,Committee for Judge McKinley,1753,3
103630801488670,Sunshine Fund,Sunshine Fund PAC,1753,5
105083271127516,Elect Dr. Randal Brown for State Representative District 63,Dr. Randal Brown For NM,1750,9
208769582530080,Jon Siegel,JON SIEGEL FOR CONSTABLE CAMPAIGN,1750,5
2015956171986471,Green for State Representative,Robin Green for State Rep,1748,1
112095023887625,Julie Mobley for State Senate,Julie Mobley for Senate 2020,1748,6
101176641713779,John Hall 2020,John Hall 2020,1748,1
105510711272434,No Way on Amendment A,No Way on Amendment A committee,1746,5
167895208115,Senator Bob Rankin,Friends of Bob Rankin,1745,15
610181072760561,Noli Zosa for City Council,Noli Zosa for Council 2020,1744,6
114695990361350,Matt Dollar for State Representative,Friends of Matt Dollar,1744,5
107122530963244,Senior Citizen Benefits Center,Superior Choice Life,1742,16
106591477845825,Louis Uridel Mayor For Oceanside 2020,Lou Uridel for Mayor 2020,1742,9
2477925168899669,The Renew Democracy Initiative,"The Renew Democracy Initiative, Inc",1742,27
132066233534659,Healthcare Education Project,Healthcare Education Project,1742,1
157849841559162,JA Moore For SC District 15,JA Moore for SC,1740,24
1772437266382039,Black Buck Apparel,Black Buck Apparel,1739,19
235549116872263,Sara For State House,Sara Elizabeth Rasmussen,1739,11
132171650559167,Keep CLE KIDS Moving Ahead,Citizens for Our Children’s Future,1736,17
112369900345497,Main Street Economics,Leslie Rubin,1735,8
166495790533335,American Population Panel,CHRR,1735,7
582081579084761,Elect Stuart S. Mackey,Stuart Mackey for Little Rock School Board,1733,4
499216136783347,Airlines for America,Airlines for America,1733,6
104385708078979,Fusco4CT,Fusco4CT,1733,4
102959021547611,Measure 107 is Political Censorship,Kyle Nathan Markley,1731,5
113045950554102,El Verdadero Récord de Mike Garcia,DCCC,1730,4
77626762064,Kirk Cox,Kirk Cox for Delegate,1730,12
425303257834064,Tom Basile,TomBasile.com,1730,7
590072277714798,Katrina Foley,Foley for Mayor 2020,1730,10
101752041333895,Alisa Simmons for Texas House District 94,Alisa Simmons for Texas House District 94,1729,4
162076961537,CA Charter Schools Association,California Charter Schools Association,1729,34
399145683585912,Council Member Sergio Contreras for Supervisor,Sergio Contreras for Supervisor 2020,1728,9
103838764451120,Dave Dyk for Gresham City Council - Position 5,Friends of Dave Dyk,1728,38
534488750036661,"Ohio Value Voters, Inc.","Ohio Value Voters, Inc.",1728,14
544940465655266,Kansas House Republicans,Kansas Republican House Campaign Committee,1728,10
1081577605248505,Elect Better USA,John E Palmer,1728,9
181618876087784,Guys Who Get It,These ads ran without a disclaimer,1726,3
2095417444068117,For Michigan's Future,FOR OUR FUTURE,1725,14
115084810194607,H-Town Power 2020,Houston in Action,1725,6
256570454452074,Michael O'Donnell for Sedgwick County,Michael O'Donnell for Sedgwick County,1725,35
106848330899316,Easy Stickers,These ads ran without a disclaimer,1724,2
113821048776582,Merritt & Merritt Law Firm,Merritt & Merritt Law Firm,1722,2
130268756992804,Yale Climate Connections,Yale Climate Connections,1721,15
184222108343197,Blue Cross NC,Blue Cross NC,1721,3
18017481462,Acton Institute,Acton Institute,1721,13
719398071813159,Charles Cunliffe and  Peg Houle for Barnegat Township Committee,Committee to Elect Cunliffe & Houle,1720,23
186532445783,Dauphin County GOP,Dauphin County Republican Committee,1719,4
140706995941854,Asian Americans Advancing Justice Atlanta,Asian Americans Advancing Justice-Atlanta with Facebook Ad Credits,1719,5
100318648456990,Red Merle Design,Red Merle Design,1719,69
109384680446893,No Plastic Waste,Minderoo Foundation,1719,12
112488757165613,Blue Line Stockpile,Blueline Stockpile,1717,69
1545826148838592,Trump 2020,Gregory Lawrence Burright,1716,4
105893554572295,Vote Steven Johnson for Board of Education,Steven Wayne Johnson,1713,14
100570308174461,Tim Bonner For State Representative,Friends of Tim Bonner,1713,2
186666348590362,Collin County Votes,Collin County Business Alliance,1712,13
104178704279594,Main St. First,Resource Media,1712,75
671319133290449,Walt Benson for Bernalillo County Commission District 4,Walt Benson for Bernalillo County Commission,1711,25
101544111679373,Vote Sue Helm,Sue Helm For State House Committee,1711,1
114420040286847,Carolyn Branagan For Treasurer,Elect Carolyn Branagan,1711,34
228129474314319,Vote For 428: Nebraskans For Responsible Lending,Vote For 428: Nebraskans for Responsible Lending,1710,7
106019374350134,Yes for Our Libraries,Libraries YES Committee,1707,32
347342729105803,Pat Wilson Pheanious,RepPat 2020,1706,10
111536353963034,"Vote Him Out, Inc.",Vote Him Out,1706,17
718029401925471,Joe Drago for Texas House District 96,Joe Drago for Texas House District 96,1705,3
111745270370179,Michigan Land and Liberty Coalition,Land & Liberty Coalition,1705,4
1444298848974547,Dan Helmer,Helmer for Virginia,1704,29
104041664594439,Florida Catholic Tribune,Franklin Archer,1704,14
109439470678419,Robin Hammond for District Court Judge,Robin Hammond for Judge,1704,48
103279457862328,Joe LaPorta for State Senate,LaPorta For CT,1703,15
104475708034549,San Franciscans for a Fair Recovery: Yes on I,"San Franciscans for a Fair Recovery, Yes on A, B, E, F, I, J, K & L. Committee major funding from  Laksh Bhasin ($24,000) Jeff May ($11,000)  Christin Evans ($5,000)  Financial disclosures are available at SFEthics.org",1703,2
451869744916179,Bob Trammell for State House,COMMITTEE TO ELECT BOB TRAMMELL,1702,3
108460147645628,Traci Koster for State Representative,Traci Koster Campaign,1701,9
101540014888269,Scott Cirksena,Committee to Elect Scott Cirksena,1701,6
157759274279900,NC Department of Justice and Attorney General's Office,North Carolina Department of Justice,1701,1
644965592787776,Teachers for Public School Excellence,Teachers for Public School Excellence,1700,1
682208958556073,Rx in Reach Georgia Coalition,Rx in Reach Georgia Coalition,1700,2
87777747127,Greg Palast,Palast Investigative Fund,1699,30
332463587700528,Margaret Plattner for State Representative,Plattner for State Representative,1699,9
167473433290992,Inequality.org,Institute for Policy Studies,1698,2
586336688705531,Progressives Working Together,Progressives Working Together INC,1698,3
414073875402076,Judge Amy Searcy,Judge Amy Searcy Committee,1698,7
5887538795,Education Week,Education Week,1697,55
726895597447637,Jeff Edler for State Senate,Jeff Edler for State Senate,1697,9
316498251698370,Adam Gray for Assembly,Gray for Assembly 2020,1696,13
107777201066377,American Valor,AMERICAN VALOR PAC,1696,1
101041998305221,The Proud Republicans,Great American Era LLC,1695,1
158505287559920,Save the Storks,Save the Storks,1695,38
172477936599541,Delegate Julian Ivey,Friends of Julian Ivey,1695,8
645110859303679,Miami Freedom Project,Miami Freedom Project,1695,4
1634574103304288,Martin Zamora NM House District 63,ZAMORA for NM STATE REPRESENTATIVE DISTRICT 63,1695,2
226944320794440,Bev Uhlenhake,Bev for Senate,1694,2
174693403292105,Swartzmiller for State Senate,Friends of Randy Swartzmiller 2020,1694,18
244554749685,National Congress of American Indians,NATIONAL CONGRESS OF AMERICAN INDIANS OF THE UNITED STATES AND ALASKA INC,1694,9
2056485407811667,Clean Energy for Maryland,Resource Media,1694,82
1052880828147974,Last Shelter:Survival,These ads ran without a disclaimer,1690,1
14535753003,Jim Murphy,Friends of Jim Murphy,1689,19
229358837936619,"Janet Yang Rohr - For IL State Representative, 41st District",Friends of Janet Yang Rohr,1689,2
102224561399734,Katie Boshart Glaser,Friends of Katie Boshart Glaser,1689,6
247611728625098,Harold Copenhaver for Mayor,Harold Copenhaver for Mayor,1686,17
108239320975699,Mike Powers and Melissa Unger for SEIU Local 503,Mike for President & Melissa for Exec. Director,1685,10
1459763430743170,West Orange Political Alliance,"West Orange Political Alliance, Inc.",1684,11
124522940895051,Hays County Republican Party,Hays County Republican Party,1684,6
73970658023,International Rescue Committee,These ads ran without a disclaimer,1683,18
896471357114197,Carlton Wing State Representative District 38,Wing for State Representative,1682,5
2265630773483024,The Next 50,The Next 50 LLC,1682,3
124047827634,The Greenlining Institute,THE GREENLINING INSTITUTE,1678,8
101346058342759,Ryan VanReenan for Borough Assembly,Ryan VanReenan for Borough Assembly,1678,9
85945492130,EnergyBoom,Energy Boom,1676,26
139737082724613,"The Town of Ridgeland, South Carolina",Adams Outdoor Advertising,1676,8
56282222521,Houghton Mifflin Harcourt Trade,Houghton Mifflin Harcourt,1675,1
110129850692632,Safer Cleaner Ships,"Key West Committee for Safer Cleaner Ships, Inc",1674,17
126526472141437,Tom McKee for Mayor of Corcoran,Tom McKee for Mayor,1674,26
133185440374245,Sheriff Lamb,Sheriff Lamb,1674,1
272746056173834,National Voter Registration Day,NONPROFIT VOTE,1674,5
670630373006931,Planned Parenthood of Greater Ohio,Planned Parenthood of Greater Ohio,1674,12
1772414626334001,Chris King,Thomas Christopher King,1673,15
133294620046953,Mission India,MISSION INDIA INC,1672,3
253274368102608,Charbonneau for Senate,Charbonneau for Senate,1671,4
1444195602518749,Lydia Kou - Palo Alto City Council,Re-elect Lydia Kou for Palo Alto City Council 2020,1670,13
215915951780663,Louisiana Chemical Association,Louisiana Chemical Association,1670,18
111402350262155,Dan Kessler for Minnesota House,Dan Kessler for Minnesota House,1670,10
114370463651074,Iowa Land & Liberty Coalition,Land & Liberty Coalition,1669,11
341828139690,Heritage Defense,Heritage Defense,1669,29
213113548725916,Jewish Community Council of Greater Coney Island (JCCGCI),JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC.,1669,11
104296636269700,Florida Harbor Pilots Association,Florida Harbor Pilots Association,1669,8
261548845154,Veronica Escobar,Veronica Escobar for Congress,1669,17
354831731593118,Fred Wilms 2020,Fred Wilms 2020,1668,1
25055115099,Intuit,INTUIT INC.,1668,15
103058678167064,Irvine John Park,John Park For Irvine City Council 2020,1666,33
546643589052271,Sarah Godlewski,Sarah for Wisconsin,1665,50
107655314401769,Reopen Schools Now,Reopen Schools Now,1664,3
205148492837912,We Are Ohio,We Are Ohio,1664,5
282878411750474,Re-elect Councilman Ian T. Lovejoy,Friends of Ian Lovejoy,1662,32
106954067562044,Adela Garza for TSC,Adela Garcia Garza,1661,8
135777503254955,Volunteer Science,Volunteer Science Inc,1661,367
631005323626172,"Senator Joyce Krawiec, NC District 31",Joyce Krawiec for NC Senate,1660,2
90705538313,Sheet Metal Air Rail and Transportation Workers,SMART,1660,11
102726091440161,Rich Walker for Parkland Mayor,"Rich Walker, Non-Partisan, for Parkland Mayor",1659,8
107710174257880,Georgia Rights Alliance,Civil Justice PAC,1659,2
170918006892,G.I. Jobs,Victory Media DBA GI Jobs,1658,16
1358009594337791,Empower America Project,Empower America Project,1658,4
1191593944306272,State Representative Julie Johnson,Julie Johnson for Texas,1658,13
45002877992,FOX,These ads ran without a disclaimer,1656,4
550622028319900,Headlock Press,Headlock Press,1656,57
1297437463649811,by Humankind,by Humankind,1656,83
438719273175922,Missouri House Democrats,House Democratic Campaign Committee,1656,19
114772676636747,Renewable Water Resources,Renewable Water Resources,1654,11
530645050713244,Vote for Mark Murphy,Mark A. Murphy For Mayor 2020,1654,61
102902308042145,Tom Neafcy for State Rep - 146th District,Friends of Tom Neafcy,1654,3
119953292796,Jim Banks for Congress,"JIM BANKS FOR CONGRESS, INC.",1653,7
102386311613132,Yes On Measure E,Yes on Measure E! For a Safe and Sustainable Oxnard 2020,1653,7
2256351574683170,Judge Genesis Draper,Genesis Draper for Judge Campaign,1652,22
110079633983450,Arizona Catholic Tribune,Franklin Archer,1651,12
1673120782936548,Waylon Brown for State Senate,Waylon Brown for State Senate,1651,6
100551214884717,Team WV 63,TeamWV63,1651,10
983629811723932,Home Title Lock,These ads ran without a disclaimer,1651,1
354379377980994,Billy O'Connell for HB City Council,Billy O'Connell for HB City Council,1650,5
101897034583020,OC Jobs Coalition,OC Jobs Coalition. Not authorized by a candidate or a committee controlled by a candidate.,1650,3
324768627371,OCTax,Orange County Taxpayers Association,1650,9
100131284943324,Luke Letlow For Congress,LETLOW FOR CONGRESS,1650,6
114192652620,"City of Rochester, NY - Mayor's Office",City of Rochester NY,1649,3
110226587326567,Mark Bransford - For Ward 2 Council,Mark Bransford,1649,33
101951798163778,Ed Vocke For WI Senate District 12,Committee to Elect Vocke,1648,49
104590164363583,Dick Anderson for Oregon,Dick Anderson for Oregon,1648,8
108504080938457,Kody Czerwonka for State Representative - Illinois District 110,Citizens for Kody Czerwonka,1648,26
150322194563,PASA Primates: Pan African Sanctuary Alliance,PAN AFRICAN SANCTUARIES ALLIANCE,1648,13
282664492547273,Net Zero Co.,These ads ran without a disclaimer,1647,14
45758312413,Black Public Media,Black Public Media,1646,33
154894841387125,Keep America American,These ads ran without a disclaimer,1645,3
106955620750393,Minnesota Land and Liberty Coalition,Land & Liberty Coalition,1644,6
119319623250551,Eleventhree,ELEVENTHREE,1644,4
132147116833292,Michael Stinziano,the Franklin County Auditor,1643,2
707916892714182,Treasurer Larry Rocca,COMMITTEE TO ELECT LARRY ROCCA,1643,9
102229144898884,Jeff Wellman for San Clemente City Council,Jeffrey Craig Wellman,1642,10
1691146061101804,Moore Capito,Moore Capito for West Virginia,1642,12
1272534336242476,World101,Council on Foreign Relations,1641,2
105662557630066,Trever Nehls for Fort Bend County Sheriff,SUPPORTERS OF TREVER NEHLS,1641,13
38234604057,PEN America,PEN AMERICAN CENTER INC,1641,12
956848591140269,April Fournier for Portland,April Fournier for Portland,1640,19
105389473648,California Restaurant Association,California Restaurant Association,1639,12
89757739264,Farm Credit,Farm Credit Council,1637,17
104181186973,Greg Steube,GREG STEUBE FOR CONGRESS,1635,30
1495988063953119,State Senator Gary Daniels,Friends of Gary Daniels,1635,13
1930610017167931,State Representative Joe Polletta,Polletta for Rep,1634,5
1418591451747012,Terry Tornek for Pasadena Mayor,Tornek for Mayor 2020,1631,19
907746542649819,CJ Johnson for Melbourne Mayor,CJ Johnson for Melbourne Mayor,1631,9
109699820816907,Block Power,Energize Voters LLC,1630,30
105330777830728,John Poe for State Rep.,Committee to elect John Poe,1630,17
1010353059061123,Susan Kent for Senate,Susan Kent for Senate,1630,13
112473780428837,Chasten Buttigieg,Kenneth James Gillett,1630,29
142474049098533,Robert Reich,Inequality Media,1627,62
101721244963132,"Britt Riner, Sarasota County Public Hospital Board",Britt Riner Campaign,1626,5
101416868349151,Dave Miramant for Maine Senate,David Miramant for State Senate,1625,2
278052172260101,ZERO TO THREE,ZERO TO THREE,1624,33
246323280108,American Medical Association (AMA),American Medical Association,1624,1
215223965270049,Mitch for Newtown,Mitch for Newtown,1623,7
100511795120620,Vote Yes: Maui County Managing Director Charter Amendment,Holomua Ohana for Professional Management,1622,20
102613531564293,Our Vote Forward PAC,Our Vote Forward,1621,13
107274064216231,MPower 360,MPower,1620,1
106196627883378,Partners for Educational Freedom in North Carolina,Partners for Educational Freedom in North Carolina,1620,3
102972344646430,Don Cole for Congress - Send DC to DC,"DON COLE FOR CONGRESS, INC.",1620,8
218718021638624,Citizens for Jason Ortitay,Citizens for Jason Ortitay,1620,2
113066278734489,Earth Guardians,"EARTH GUARDIANS, INC.",1620,9
102936707723326,North Point Casino,Lakeside Casino LLC,1619,22
225132657540724,Nicole Klarides-Ditria,"NKD20, Annmarie Drugonis - Treasurer. Approved by Nicole Klarides-Ditria.",1619,3
114024890020,Keisha Waites  for U.S. Congress,Keisha Waites For Congress,1619,12
240541500603,Lone Star Project,Lone Star Project Nonfederal,1618,48
312478445457776,Steve Stadelman for State Senate,Stadelman for state senate,1618,4
110425667380194,Aaron Bushur,"Aaron Bushur for Family Court Judge, Dept. 13",1618,4
2220952231495145,York County Safe and Healthy Communities Initiative,These ads ran without a disclaimer,1616,2
42624184448,Al Stirpe NYS Assembly,Citizens for Al Stirpe,1616,20
17274984050,Consumer Reports Advocacy,Consumer Reports Inc,1615,19
745304825534862,Steve Scalise,Team Scalise,1615,20
102722747938444,Kelly Cooper for State House,Kelly Cooper for State House,1615,59
288338635215331,Harry Benton for State Representative,Friends to Elect Harry Benton,1613,4
302355213825358,Measure A,"Yes on A, Community, Labor and Business Groups for Sacramento Mayoral Accountability and Community Equity, Mayor Darrell Steinberg Committee for Sacramento's Future",1613,6
105283560949571,Trump 2024 Film,2024 LLC,1613,25
107201091091771,Samra's Secrets,New York State Senate Republican Campaign Committee,1612,9
122150409780,UC San Diego,University of California San Diego,1612,14
148306605193993,Blue Shield of California,Lawrence Joseph Sepe,1612,9
1384649428416342,Workers Center for Racial Justice,Center for Racial and Gender Equity,1612,7
108838240704138,Operation Restoration 2020,CITIZENS FOR JADE SIMMONS,1611,4
578518162826681,Yes on B: Support the Davis Innovation and Sustainability Campus,Yes on Measure B,1611,7
244579043463375,The Three Masketeers,Three Masketeers,1611,11
25255876194,GOPAC,GOPAC Election Fund,1610,7
239658882763974,Poverty USA by CCHD,UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,1609,3
104819864273869,Jeff Jiang For Minnesota Senate,JEFF JIANG FOR MINNESOTA SENATE COMMITTEE,1609,22
363410277091,Westchester County Government,Russell K Mcmurry,1608,5
1028908663935923,Americans for Fair Treatment,Americans For Fair Treatment,1608,5
113221460405028,America One Policies,America One Policies,1608,1
983593474989913,Craig Johnson for Iowa,Johnson for Iowa,1608,7
103645227897737,Zesty Salsa,Tux.uk.com,1607,12
175630693036967,South Carolina FYI,Awesome News Network,1607,12
566693246692897,William R. Laird IV,William Ramsey Laird Iv,1606,4
175421985812598,Vote Eddie Cook,Friends of Eddie Cook. Authorized by Eddie Cook.,1605,1
725902877520868,Jay Chaudhuri - NC Senate,Chaudhuri For New NC,1604,13
123068775760135,"Christopher Thompson for St. Lucie County Commissioner, District 3",Christopher James Thompson for St. Lucie County Commission District 3,1604,9
2330028983924243,Construction Business Group,CONSTRUCTION BUSINESS GROUP,1604,5
1899748043485453,Trinity Health Advocacy,TRINITY HEALTH CORPORATION,1603,16
222036105728393,Citizens Utility Board of Ohio,Citizens Utility Board of Ohio,1603,6
106835531007146,Garment Hound,These ads ran without a disclaimer,1603,33
718695571507724,Texans for Natural Gas,Texans for Natural Gas,1603,11
378084314984,Trane Technologies,These ads ran without a disclaimer,1602,4
195564470605699,Dr. Yxstian Gutierrez - Mayor of Moreno Valley,Dr. Gutierrez for Mayor 2020,1602,10
108309840747480,Re-elect Mayor Dean Trantalis,Dean Trantalis Campaign,1602,3
108726793837368,Debra Edmondson for Texas HD 98,Debra Edmondson for Texas HD 98,1601,12
1536224546606718,Comer for Congress,COMER FOR CONGRESS,1601,10
388507481508484,Unite the People,Mitchell Leon Mcdowell Jr,1600,2
359263037511860,Mississippi Secretary of State's Office,Mississippi Secretary of State,1600,1
107591317737915,Prepared Americans,Kin Ngai Yeung,1600,12
149441489063506,West Virginia Senate Republicans,WV Republican Senate Committee,1599,3
350034968707513,And She Could Be Next,And She Could Be Next LLC,1598,20
240532939344886,Mitch Roth for Mayor,Friends of Mitch Roth,1598,18
592709147899703,Councilman Michael Berlucchi,Friends of Michael Berlucchi,1597,23
272618896537776,America First Agenda,America First Agenda PAC,1597,3
113129690227018,Wisconsin Land and Liberty Coalition,Land & Liberty Coalition,1595,9
102816294565613,Primordial Press,Michael Abraham Rothman,1595,1
649196892359555,Disable the Enablers / DTE PAC,DISABLE THE ENABLERS,1595,8
110235477368792,Mary Lynne Donohue for Assembly,Mary Lynne Donohue for Assembly 2020,1594,36
102477051148408,Rod4Education,Elect Rod for School Board,1594,6
129602743740560,Illinois Family Action,ILLINOIS FAMILY ACTION NFP,1594,12
246301386109235,Christopher Rodriguez Oceanside City Council District 2,Christopher Rodriguez for Oceanside City Council,1594,13
523068344538782,OHCAP - Ohio Coalition for Affordable Prescriptions,Ohio Coalition for Affordable Prescriptions,1593,9
114775398550878,AARP Michigan,AARP,1593,10
576705655712575,Jason Williams,Run with Jason,1593,4
884752248364974,Hung Wei for Cupertino City Council 2020,Hung Wei for Cupertino City Council,1593,62
100994503327232,Nevada State Democratic Party,NEVADA STATE DEMOCRATIC PARTY,1592,7
101973421559209,Virginia Higher Ed United,SEIU,1592,50
23641203189,Show-Me Institute,Show-Me Institute,1592,11
103254708136154,South Central PA Spotlight,DEPASQUALE FOR PA 10,1591,2
136362309708243,Restaurant Opportunities Centers United (ROC United),"RESTAURANT OPPORTUNITIES CENTERS (ROC) UNITED, INC.",1590,3
75993679952,ACLU of Pennsylvania,ACLU of Pennsylvania,1589,40
105788460873,Southwest Florida Water Management District,Southwest Florida Water Management District,1589,17
104247264551301,Defend Jerusalem,Defend Jerusalem,1589,63
111032923803385,Revitalize Arizona,Revitalize Arizona,1588,7
123484391642268,Dan Hilbert for Circuit Judge,Philip Scott Nichols,1588,4
2352664024796988,Business San Jose Chamber PAC,Business San Jose Chamber PAC,1588,6
1184140428324727,Dale Harvey for WFISD School Board Place 4,Dale Harvey for School Board Place 4,1587,21
100797521596859,Piñon Post,Piñon Post LLC,1587,9
267885190785083,Frisco Conservatives,Frisco Conservative Coalition,1586,17
682869671851806,Citizens Utility Board of Minnesota - CUB,Resource Media,1586,7
108347094045396,Fortune Middle School,These ads ran without a disclaimer,1585,3
129208720460165,Bill Huizenga,HUIZENGA FOR CONGRESS,1584,15
108586104277271,J.C. Romero for School Board,J.C. Romero for School Board,1583,11
107206150986955,Louisianans for Affordable Rx,Louisianans for Affordable Rx,1583,12
1520483958208446,Seeger Weiss LLP,SEEGER WEISS LLP,1582,3
1628922377207463,Randy Feenstra,FEENSTRA FOR CONGRESS,1582,7
207326543337741,Earthworks Action Fund,Earthworks Action Fund Issue Committee. Registered agent: Ashley Stevens.,1582,4
1710369439205895,Sen. Larry Taylor,FRIENDS OF LARRY TAYLOR,1581,3
615807841803140,Save Anaheim,Jason Garner Young,1580,3
216311481960,Bill Gates,These ads ran without a disclaimer,1580,6
108650400954148,Stopping Socialism TV,The Heartland Institute,1579,2
104370231110064,Chicago Babies Count,"CENTERS FOR NEW HORIZONS, INC.",1579,16
250093028763321,State Rep. Deborah Silcox,Friends of Deborah Silcox,1579,3
112251693934101,Dog Boys Adverts,Nicholas Taylor Rowe,1578,80
448760138491585,Chairman Jeremy Zellner,Chairman Jeremy Zellner,1577,7
1425865851021246,Stephanie K. Fattman,Stephanie Fattman,1577,1
35854597513,Children's Campaign,"CHILDRENS CAMPAIGN, THE",1575,2
104498814693279,"The Committee to Elect Robert Snyder, Jr., Court of Appeals, Fifth Circuit",Robert Snyder Snyder,1575,28
100661374870277,Lynn Gerber for SD19,Lynn for SD19,1575,10
102027668093015,Klimesh For Senate 28,Friends for Klimesh,1574,8
112258312240526,Con Edison,Alexandra Avillian Wilson,1573,6
1721948061248918,Vote for the Health of it,TMC HealthCare,1572,9
1495870423961785,bullsugar.org,bullsugar.org,1572,5
315430262358287,Protect our Community,Protect our Community,1571,1
460002281235040,"Mike Giallombardo For State Representative, District 77",Mike Giallombardo Campaign,1571,5
1973212516271199,Assemblywoman Karen McMahon,Friends of Karen McMahon,1571,20
545254988849355,Pat Burke,Burke for Assembly,1571,22
108632024053665,Elect Mónica Palacio,Elect Mónica Palacio for City Council Committee,1570,30
473320519345027,Mattie Daughtry,Mattie Daughtry For Maine State Senate,1570,1
101079775063650,"VOTE: Diaz, Falcon-Lopez, Iglesia",Team Wilda Díaz 2020,1568,7
343240555691451,Allen Warren 2020,Allen Warren for City Council 2020 ID #14191671787,1566,13
106954147689215,Just the Truth,JUST THE TRUTH POLITICAL ACTION COMMITTEE,1564,3
104342694373715,Patricia Sigman For Senate,Patricia Sigman Democrat for Florida State Senate District 9,1564,1
486324651440186,Plastic Bank,Erin Lillian Rand,1564,9
113787313696748,Cindy Darling for Walnut Creek City Council,Cindy Darling for Walnut Creek City Council 2020  |  FPPC ID #1425849,1563,26
148388602553550,Andrew J. Santoli for Judge,Friends of Andrew Santoli,1562,10
101828401384077,Case for 63rd,Case 2020,1562,2
145407846228971,Adrian Plank for the 47th,Friends of Adrian Plank,1561,50
24470472733,The Trevor Project,These ads ran without a disclaimer,1561,1
325011977618710,Planned Parenthood of Wisconsin,These ads ran without a disclaimer,1560,1
189427094540841,Senator Winnie Brinks,Senator Winnie Brinks,1560,6
214002058736436,Unite America,UNITE AMERICA,1560,27
